City,Latitude,Temperature (Â°F),Humidity,Wind Speed,Cloudiness
Ribeira Grande,38.52,66.48,92,16.24,80
Mar del Plata,-46.43,42.54,91,9.06,100
Timizart,36.8,64.5,67,9.82,0
Bereda,43.27,64.0,77,2.24,0
Arraial do Cabo,-22.97,76.2,81,1.9,17
Punta Arenas,-53.16,37.4,93,12.75,90
Kaitangata,-46.28,42.01,76,4.0,83
San Patricio,-26.98,60.18,96,3.24,93
Caravelas,-17.73,75.66,83,6.82,0
Yellowknife,62.45,48.2,42,5.82,40
Avarua,-21.21,78.8,78,17.22,0
Shimoda,34.7,77.0,78,10.29,75
Cabo San Lucas,22.89,84.2,72,18.34,5
Wawa,9.9,76.56,83,7.54,84
Anta,-13.47,48.2,49,3.36,56
Kavieng,-2.57,85.56,72,11.34,72
Khatanga,71.98,61.62,44,13.65,80
Ushuaia,-54.81,33.8,74,11.41,75
Onega,63.91,44.88,62,13.6,0
Licheng,24.5,77.46,78,2.98,85
Port Hawkesbury,45.62,45.0,100,3.36,90
Puerto Ayora,-0.74,73.99,93,4.0,19
Mount Gambier,-37.83,53.6,81,5.82,90
Atuona,-9.8,82.5,76,15.1,14
Georgetown,6.8,77.0,94,4.7,20
Fortuna,38.18,62.01,77,3.36,0
Batemans Bay,-35.71,64.0,54,3.0,0
Bluff,-23.58,66.3,31,10.76,67
Vila,45.18,63.0,82,5.82,0
Fredericksburg,38.3,77.0,100,4.7,75
Namibe,-15.19,66.12,82,12.12,0
Chuy,-33.69,60.0,64,5.5,78
Mahebourg,-20.41,73.4,94,1.12,75
New Norfolk,-42.78,59.0,58,12.75,20
Terrace,54.52,59.0,77,18.34,90
Busselton,-33.64,66.99,40,12.19,44
Kodiak,39.95,71.6,43,4.7,1
Jamestown,-33.21,54.6,69,8.41,85
Port Alfred,-33.59,60.01,95,2.62,78
Hilo,19.71,78.01,83,9.17,90
Batsfjord,70.63,41.0,93,4.7,0
Olsztyn,53.78,50.0,100,2.24,40
Rikitea,-23.12,75.48,85,10.83,60
Rio Grande,-32.03,54.24,85,3.13,1
Matata,-37.89,57.0,69,5.99,97
Faya,18.39,69.8,37,4.7,40
Cherskiy,68.75,61.44,35,7.83,100
Arman,59.7,46.68,83,3.56,100
Santa Isabel,4.71,73.4,100,3.36,75
Ixtapa,20.71,77.0,88,6.93,90
East London,-33.02,56.4,89,1.95,12
Cape Town,-33.93,55.99,93,3.36,4
Srednekolymsk,67.46,48.66,73,15.64,96
Tual,-5.67,82.32,81,19.86,100
Valdemarpils,57.37,48.2,100,5.82,90
Chicama,-7.84,66.2,93,10.29,20
Tura,25.52,86.64,67,4.68,6
Castro,-42.48,50.0,100,11.41,90
Maniitsoq,65.42,41.82,70,5.41,0
Monterey,36.6,68.0,82,6.93,90
Butaritari,3.07,83.94,74,9.35,79
Lorengau,-2.02,82.5,87,7.74,92
Katsuura,33.93,75.99,53,12.75,75
Albany,42.65,61.0,82,5.82,1
Kapaa,22.08,84.2,65,11.41,1
Portland,45.52,80.6,47,12.75,40
Acajutla,13.59,73.99,87,5.01,100
Pevek,69.7,36.96,79,14.83,0
Yurimaguas,-5.9,74.76,79,2.48,79
Saint-Philippe,45.36,53.6,54,4.7,1
Bredasdorp,-34.53,42.8,93,2.75,0
Victoria,5.28,87.8,74,2.24,75
Suraabad,40.82,64.4,68,1.12,0
Pestretsy,55.75,60.8,93,6.71,40
Vaini,15.34,75.2,83,3.36,75
Mataura,-46.19,45.0,77,7.0,99
Chokurdakh,70.62,43.26,65,12.66,29
Esperance,10.24,80.01,78,2.24,91
Tuatapere,-46.13,45.0,77,7.0,100
Quelimane,-17.88,62.52,98,3.98,0
Ambon,47.55,57.99,93,8.05,0
Chara,39.42,60.8,87,4.07,20
Nome,30.04,75.99,88,4.32,1
Hermanus,-34.42,55.0,92,1.01,0
Sinnamary,5.38,80.88,83,10.47,97
Barrow,-38.31,44.88,93,7.74,62
Kahului,20.89,84.2,78,4.7,3
Bani Walid,31.76,60.18,80,7.34,30
Dongkan,34.0,86.28,32,9.26,100
Kurchum,48.57,54.06,51,5.23,0
Bethel,60.79,62.6,42,11.41,75
Norman Wells,65.28,57.2,62,11.41,90
Souillac,45.6,60.8,77,6.35,0
Lazaro Cardenas,28.39,89.6,22,16.11,5
Vestmannaeyjar,63.44,43.98,72,16.31,88
Geraldton,49.72,48.2,57,5.82,75
Hobart,-42.88,59.0,58,12.75,20
Inirida,3.87,75.84,87,1.61,60
Lebu,8.96,59.0,87,4.7,75
San Rafael del Sur,11.85,80.6,78,4.7,20
Dikson,73.51,32.46,97,10.94,100
Lagoa,37.14,69.8,56,10.29,0
Banjar,-7.37,76.02,86,3.24,98
Varkaus,62.32,46.99,68,5.82,0
Alice Springs,-23.7,55.4,43,14.99,0
Mopipi,-21.2,56.04,42,7.78,0
Nikolskoye,59.7,55.99,86,6.71,0
Adamovka,51.52,70.08,69,8.88,59
Aksarka,66.56,32.82,83,2.59,100
Turukhansk,65.8,36.6,99,6.98,100
Lalibela,12.04,63.42,49,2.51,54
Pimentel,-3.7,72.78,99,2.39,100
Nantucket,41.28,57.0,100,6.93,90
Kurayoshi,35.43,75.0,53,8.05,75
Pangnirtung,66.15,42.18,66,1.95,44
Yar-Sale,66.83,30.48,84,10.38,84
Payson,40.04,66.2,48,5.82,75
Lata,30.78,45.42,48,3.29,37
Sterling,39.0,75.0,68,5.57,75
Longyearbyen,78.22,35.6,59,20.8,0
Sitka,37.17,69.01,73,8.12,0
Darovskoy,58.77,59.46,93,3.74,1
Umm Lajj,25.02,87.18,64,11.14,83
Inyonga,-6.72,67.74,66,7.45,74
Hueyapan,19.88,69.36,93,0.85,100
Bathsheba,13.22,78.8,78,12.75,75
Airai,-8.93,86.1,51,7.36,92
Tautira,-17.73,82.4,69,2.24,75
Rio Brilhante,-21.8,69.9,96,3.74,42
Necochea,-38.55,37.99,94,1.01,5
Malangwa,-2.84,72.78,93,2.71,100
Katete,-0.78,61.8,93,2.75,100
Te Anau,-45.41,35.88,82,4.52,95
Anadyr,64.73,44.6,65,11.18,0
Thompson,55.74,41.0,56,13.87,20
Ouro Sogui,15.61,93.66,17,14.81,63
Aleksandrovskoye,56.74,45.0,70,4.47,40
Hambantota,6.12,82.4,83,11.41,75
Port Hedland,-20.31,73.4,15,24.16,0
Port Said,25.34,84.84,21,12.8,25
Naze,5.43,72.06,97,3.27,100
Saldanha,41.42,63.96,58,2.86,0
Yulara,-25.24,57.2,41,20.8,0
Touros,-5.2,75.2,94,3.36,20
Tiksi,71.64,33.72,95,4.88,77
Teguise,29.06,68.0,82,9.17,75
Sao Paulo de Olivenca,-3.38,76.74,81,0.87,87
Emerald,-23.53,60.8,36,10.29,90
Wonthaggi,-38.6,59.0,79,6.93,100
Provideniya,64.42,51.18,53,1.68,1
Carnarvon,-30.97,48.12,69,3.27,0
Kununurra,-15.77,71.6,17,16.11,0
Tumaco,1.8,80.34,83,17.49,94
Hillsborough,37.57,68.0,93,6.64,90
Riobamba,-1.67,45.96,99,1.54,99
Lexington,38.05,64.4,100,3.36,1
Pirapo,-26.85,60.72,98,2.68,81
Moose Factory,51.26,39.2,93,4.7,90
Ous,60.91,56.58,49,3.69,0
Saskylakh,71.97,53.16,56,17.27,18
Clovis,36.83,87.8,26,10.29,1
Upernavik,72.79,30.3,89,9.78,96
Neiafu,-18.65,80.6,69,8.05,20
Alexandria,31.31,80.6,74,5.82,1
Havre-Saint-Pierre,50.23,44.6,75,6.93,75
Inhambane,-23.87,61.44,95,4.54,19
Ilulissat,69.22,41.0,65,6.64,22
Mbumi,-7.91,67.38,94,3.31,0
Goderich,43.74,63.0,89,8.52,100
Padang,-0.92,80.6,88,1.12,40
Qaanaaq,77.48,22.56,85,3.56,70
Meulaboh,4.14,83.22,74,2.77,100
Alta Floresta,-9.87,74.76,70,2.59,1
Iqaluit,63.75,33.8,80,5.82,20
Mumbwa,-14.99,52.62,68,3.02,45
Margate,-43.03,59.0,58,12.75,20
Praia,-20.25,64.4,88,3.76,0
Severo-Kurilsk,50.68,41.28,91,14.85,77
Vila Franca do Campo,37.72,66.2,93,6.93,75
Luanda,-8.83,71.6,83,6.93,75
Poum,41.28,46.4,87,2.24,40
Buenavista,4.36,73.4,100,4.7,40
Aloleng,16.13,88.08,65,4.7,21
Praia da Vitoria,38.73,68.0,88,14.99,20
Belmonte,40.36,62.01,84,2.68,0
El Alto,-16.5,35.6,37,2.24,0
Bemidji,47.48,62.6,66,4.7,1
Brae,60.4,48.2,100,10.29,100
Saint-Augustin,44.83,59.0,93,4.03,0
Komsomolskiy,67.55,30.3,94,3.47,100
Monteagudo,-19.8,59.28,97,2.3,97
Cambridge,52.2,55.99,93,6.93,15
Ola,59.58,42.9,89,6.64,97
Puerto del Rosario,28.5,68.0,88,6.93,0
Laguna,27.52,80.6,61,9.17,5
Chabahar,25.29,78.8,74,4.7,0
Bhadrapur,26.55,78.8,78,6.93,20
Jiangkou,30.7,78.18,56,4.61,100
Ortisoara,45.96,61.0,100,1.12,20
Nemuro,43.32,71.6,49,17.22,20
Lircay,-12.99,29.76,82,3.06,0
Hagere Hiywet,8.98,52.62,93,1.77,54
Faanui,-16.48,82.86,70,6.91,12
Ilhabela,-23.78,76.02,81,8.57,92
Ostrovnoy,68.05,45.06,63,20.47,28
Belle Fourche,44.67,63.0,72,6.93,75
Camocim,-2.9,74.76,96,5.73,82
Spasskoye,55.86,65.58,91,7.47,76
Djambala,-2.55,68.64,94,3.91,0
Kavaratti,10.57,86.28,68,7.09,100
Hithadhoo,-0.6,84.3,75,9.73,100
Matadi,-5.83,69.72,93,4.36,100
Bandarbeyla,9.49,76.56,81,18.12,100
Ekhabi,53.51,45.78,75,20.6,95
Sur,22.57,99.42,22,13.56,0
Derzhavinsk,51.1,75.48,32,8.39,0
Zhezkazgan,47.8,66.2,39,4.47,90
Stykkisholmur,65.08,37.5,75,22.24,0
Port Antonio,18.18,82.4,65,10.29,20
Ponta do Sol,-20.63,62.52,94,3.6,0
Tasiilaq,65.61,30.2,80,6.93,12
Farah,32.37,83.58,30,6.87,34
Elko,40.83,60.8,55,12.75,90
Impfondo,1.62,70.44,95,1.83,100
Salalah,17.01,86.0,74,6.93,75
Popondetta,-8.77,79.98,57,4.05,76
Waingapu,-9.65,82.14,62,17.63,83
Harer,42.19,52.0,71,5.82,1
Talnakh,69.49,32.0,89,4.47,90
Conceicao da Barra,-18.59,71.88,90,4.92,0
Erzin,36.95,73.99,73,5.82,0
Tiznit,29.7,72.42,65,13.87,100
North Bend,43.41,55.99,93,18.34,90
Monthey,46.25,57.2,67,2.57,0
Lasa,34.92,69.8,63,5.82,94
Aklavik,68.22,60.8,26,13.87,5
Fort Nelson,58.81,68.0,40,5.82,90
Clyde River,70.47,37.4,64,2.24,1
Bara,10.41,81.96,59,7.14,29
Pacific Grove,36.62,68.0,82,6.93,90
Los Llanos de Aridane,28.66,66.2,82,10.29,1
Gao,16.28,93.84,9,12.86,63
Latung,-8.45,89.34,50,2.46,87
Maldonado,-34.91,46.4,87,4.7,0
Verkhovazhye,60.75,49.74,94,4.43,100
Saint George,39.45,60.8,87,4.07,20
Sidi Ali,36.1,69.36,68,8.46,0
Diego de Almagro,-26.39,53.7,87,1.77,77
Zverinogolovskoye,54.46,63.42,80,10.8,10
Nanortalik,60.14,34.98,86,3.33,3
Portree,57.41,51.01,95,8.01,94
Marawi,8.0,84.99,81,7.0,78
El Jicaro,14.91,67.02,85,1.25,100
Mehamn,71.03,43.44,70,4.38,71
Guerrero Negro,27.97,64.14,84,13.53,0
Omboue,-1.57,77.1,85,14.32,100
Broome,52.47,55.99,93,8.05,0
Chiknayakanhalli,13.42,80.34,68,7.07,81
Alofi,-19.06,80.6,69,8.05,40
Nouadhibou,20.93,64.4,88,14.99,0
Mantenopolis,-18.86,70.98,73,1.41,0
Tandil,-37.33,44.01,87,5.79,45
Paragominas,-3.0,72.96,99,2.57,100
Shirokiy,53.87,62.7,94,4.81,86
Laem Sing,12.48,93.0,84,6.06,20
Dombas,62.07,33.72,79,4.18,98
Bambous Virieux,-20.34,73.4,94,1.12,75
Lerwick,60.15,48.2,100,9.17,100
Nivala,63.93,39.99,84,3.0,10
Half Moon Bay,37.46,70.0,93,6.64,90
Nuuk,64.17,33.8,100,3.36,0
Cabedelo,-6.97,75.2,100,4.7,20
Songjianghe,42.18,68.82,32,6.71,0
Seymchan,62.93,65.94,37,8.55,57
Ancud,-41.87,50.0,100,11.41,90
Bodden Town,19.28,84.0,83,11.41,20
Tocache,-8.19,50.46,64,4.41,100
Jalu,29.03,83.58,25,15.32,33
Coruripe,-10.12,72.6,94,3.56,33
Byron Bay,-28.65,73.99,55,10.29,90
Haines Junction,60.75,52.8,37,16.24,37
Yumen,40.29,75.48,10,0.89,25
Gorele,41.03,64.4,82,2.26,0
Kholtoson,50.3,42.54,87,8.95,100
Saint-Pierre,48.95,57.2,87,3.36,0
Morropon,-5.18,61.98,83,2.64,89
Kruisfontein,-34.0,52.98,94,3.2,35
Beaverlodge,55.21,71.6,43,11.41,75
College,64.86,57.2,82,9.17,90
Guiratinga,-16.35,70.8,63,2.17,0
Aasiaat,68.71,34.44,73,7.7,50
Port Blair,11.67,85.92,73,12.8,100
Regeneracao,-6.24,74.76,80,2.17,16
Nalut,31.86,58.74,78,18.01,1
Zarate,-13.68,66.2,77,3.36,90
Zhigansk,66.77,58.92,35,11.45,0
Iskateley,67.68,46.68,61,17.92,99
Leo,11.1,80.7,75,11.43,89
Kautokeino,69.01,38.04,75,12.3,66
Beisfjord,68.38,41.0,80,26.4,95
Rocha,-34.48,52.8,89,2.71,100
San Rafael,-34.61,51.0,21,12.91,0
Negombo,7.21,80.6,83,5.82,20
Amapa,15.09,80.6,83,6.93,75
San Carlos del Zulia,9.0,78.72,75,0.87,100
Zeya,53.74,58.02,59,3.65,100
Tuktoyaktuk,69.44,44.6,65,14.99,20
Mahajanga,-15.72,73.4,69,4.7,20
Hobyo,5.35,80.16,74,18.39,100
Bilibino,68.06,46.86,87,4.18,87
Lookan,5.04,86.28,68,8.46,100
Sangar,63.92,63.24,34,14.7,46
Kamenka,53.19,70.0,55,5.06,64
Ust-Maya,60.42,59.46,45,9.48,92
Alyangula,-13.85,78.8,57,12.75,90
Matagami,9.67,70.26,96,5.37,100
Karaton,-6.34,86.0,70,6.93,20
Doba,8.66,78.72,64,4.38,67
Pouembout,-21.12,72.78,74,18.75,99
Hasaki,35.73,81.0,57,9.17,75
Rayagada,19.17,90.24,38,9.44,64
Panyutyne,48.93,69.9,73,3.53,2
Sibu,2.29,77.0,88,3.36,75
Daru,7.99,72.78,99,2.28,100
Bangui,4.39,73.4,94,2.19,20
Shimonoseki,33.97,84.99,68,4.7,75
Pisco,-13.71,66.2,77,3.36,90
Saint Anthony,43.97,62.6,48,7.72,1
Oster,50.95,64.0,93,6.71,100
Sao Joao da Barra,-21.64,72.42,80,6.15,0
Flinders,-34.58,66.99,45,10.29,1
Kenitra,34.26,72.0,93,4.7,0
Sao Filipe,14.9,72.96,88,19.01,1
Morondava,-20.3,72.42,80,7.7,23
Fairbanks,64.84,59.0,82,9.17,90
Westport,53.8,54.0,86,12.68,100
Khani,41.96,62.6,100,3.36,90
Beringovskiy,63.05,53.88,47,5.59,78
Kirakira,-10.46,82.5,76,15.32,31
Tera,34.97,69.8,63,5.82,99
Gamba,28.28,43.26,22,3.76,0
Axim,4.87,77.64,87,10.11,100
Kibakwe,-6.71,60.9,91,3.09,4
Hamilton,43.26,64.0,72,4.7,20
Nichinan,31.65,73.4,69,10.29,75
Veracruz,7.66,73.4,100,10.29,75
Gat,14.69,69.8,88,8.05,40
Marrakesh,31.63,77.0,31,1.12,0
Kasamwa,-2.84,63.06,82,3.02,86
Buala,-8.15,84.12,77,14.0,52
Rybinsk,58.05,53.52,80,5.91,38
Upata,8.02,74.58,89,7.07,100
Abu Samrah,35.3,79.62,32,4.54,31
Buraydah,26.33,78.8,34,3.36,0
Rafai,4.95,69.9,93,2.62,100
Aripuana,-9.17,79.62,72,0.72,97
Duverge,18.38,69.9,77,4.34,4
Uyuni,-20.46,39.3,19,7.61,24
Kargopol,61.51,47.58,74,6.6,36
Leningradskiy,69.38,33.36,92,7.9,95
Port Augusta,-32.49,57.99,71,9.17,90
Asuncion,-25.3,62.6,82,6.93,90
Iracoubo,5.48,76.92,91,4.47,100
Aquiraz,-3.9,86.0,74,10.29,40
Tucurui,-3.77,74.4,92,2.37,47
Port Elizabeth,39.31,71.6,93,2.59,1
Bayji,34.93,85.38,21,6.38,47
Tabora,-5.02,63.96,78,2.46,1
Ahipara,-35.17,54.0,100,30.24,100
Nyurba,63.29,67.92,34,7.05,24
Sarahan,31.51,72.06,23,2.75,1
Pak Phanang,8.35,87.8,79,4.7,20
Dingle,11.0,94.74,44,11.63,95
Darnah,32.77,67.92,80,4.97,5
Churapcha,62.0,54.96,54,11.79,39
Cayenne,4.94,75.2,94,4.18,0
Areosa,41.72,70.0,87,2.91,0
Ampanihy,-24.69,64.32,92,6.71,1
Coquimbo,-29.95,53.6,87,4.7,0
Coihaique,-45.58,33.8,100,5.82,40
Ostersund,63.18,39.99,86,5.82,56
Asopos,36.73,57.48,45,4.79,0
La Libertad,-16.38,51.8,32,6.93,0
Nagato,34.35,80.01,73,6.93,75
Bella Vista,-28.51,59.28,92,3.65,100
Benguela,-12.58,72.78,79,8.81,2
Nakamura,35.17,84.0,47,3.36,75
Pundaguitan,6.37,85.2,65,3.83,78
Namatanai,-3.66,82.5,74,8.3,100
Ierapetra,35.01,71.01,56,8.05,20
Isangel,-19.55,78.8,65,16.11,75
Nehe,48.48,69.72,33,11.59,86
Sabancuy,18.97,82.68,80,10.07,100
Elat,2.91,67.02,99,3.47,59
Mala,-12.66,60.54,97,15.21,100
Lahij,13.06,81.24,80,9.69,100
Redlands,34.06,71.6,62,6.93,1
Novoagansk,61.94,43.98,73,4.23,99
Lhokseumawe,5.18,85.56,58,3.85,100
Zheshart,62.09,56.76,54,6.91,78
San Cristobal,-0.39,55.4,100,2.24,90
Sovetskiy,56.76,64.5,93,5.35,100
Maposeni,-10.58,54.96,96,2.53,11
Khorixas,-20.37,66.48,40,3.18,0
Coahuayana,18.62,85.02,49,3.47,100
Morristown,36.21,66.99,68,3.6,20
Kuala Terengganu,5.33,87.8,74,3.36,75
Grand Gaube,-20.01,73.4,94,1.12,75
Bubaque,11.28,78.0,84,13.89,98
Puerto Princesa,9.74,84.2,83,2.24,75
Torbay,47.66,35.01,87,8.05,90
Gondanglegi,-7.75,84.3,60,11.7,74
Mizan Teferi,6.99,60.72,93,3.69,52
Hami,42.84,80.52,11,1.74,0
Nalobikha,53.2,56.94,79,3.76,100
Mbanza-Ngungu,-5.25,67.92,96,2.73,89
Port Hardy,50.7,55.4,82,10.29,75
Tiarei,-17.53,82.4,74,10.29,75
Shangrao,28.45,79.08,69,2.93,79
Muscat,23.6,93.2,34,4.7,0
Palu,-0.9,87.36,60,5.23,91
Isnos,1.94,43.44,94,1.59,19
San Juan,14.6,93.99,63,9.17,40
Kutum,14.2,76.38,15,4.54,37
Laizhou,37.18,69.72,63,6.46,100
La Palma,5.36,69.18,86,3.04,100
Luau,-10.7,60.0,54,3.56,97
Quatre Cocos,-20.21,73.4,94,1.12,75
Quang Ngai,15.12,99.78,35,0.96,97
Klaksvik,62.23,42.8,81,11.41,100
Mantes-la-Jolie,48.99,59.0,87,2.77,0
Merauke,-8.49,82.14,79,16.89,78
Qasigiannguit,68.82,41.0,65,3.06,25
Izvoru Berheciului,46.59,64.4,82,17.22,75
Tsabong,-26.02,59.46,49,6.89,49
Sinjai,-5.12,82.86,61,8.01,67
Khromtau,50.26,71.7,65,8.72,25
Honiara,-9.43,91.4,63,10.29,20
Camacha,33.08,68.0,88,10.29,20
Robe,7.12,50.1,84,3.04,82
Bolshaya Izhora,59.95,46.99,81,4.47,0
Shingu,33.72,73.4,56,6.93,75
Bahia Honda,22.9,83.22,76,8.19,35
Lompoc,34.64,60.01,77,8.05,1
Tchaourou,8.89,74.94,86,7.47,98
Buin,-33.73,50.0,71,3.36,20
Gap,44.56,51.01,83,3.71,0
Yarega,63.43,57.12,44,6.87,25
Ketchikan,55.34,51.8,100,11.41,90
Rio Cuarto,-33.13,50.0,100,9.17,90
Port Macquarie,-31.43,66.99,82,6.93,90
Boende,-0.28,69.9,98,1.16,100
Carahue,-38.71,53.6,93,12.75,90
Genc,38.75,59.46,64,1.23,100
Jaguaruna,-28.62,59.1,99,1.57,96
Thinadhoo,0.53,83.94,74,9.78,100
Ingham,-18.65,66.3,88,2.73,97
Verkhnevilyuysk,63.45,68.82,37,8.32,27
Kendari,-3.99,80.88,90,5.48,65
Pozo Colorado,-23.49,63.06,90,5.53,97
Waddan,29.16,70.98,68,4.03,100
Pinawa,50.15,51.01,52,6.13,0
Slave Lake,55.28,69.8,40,11.41,90
Kovdor,67.56,40.74,79,11.81,38
Kamaishi,39.28,66.2,63,17.22,75
Porto Tolle,44.95,59.0,82,2.24,0
San Andres,13.32,92.22,56,4.25,57
Shulan,44.41,72.42,32,9.78,1
Moron,10.49,75.84,92,0.78,100
Lashio,22.93,96.36,31,0.51,18
Sandpoint,48.28,75.2,56,3.36,1
Narsaq,60.91,39.2,64,3.36,5
Plettenberg Bay,-34.05,55.68,83,1.43,0
Katihar,25.54,85.92,71,13.13,0
Kargil,34.56,43.8,51,2.98,58
Mareeba,-16.99,75.99,78,16.11,90
Indaiatuba,-23.09,73.0,68,5.82,0
Ylojarvi,61.56,45.0,81,8.05,0
San Luis,-33.3,53.16,67,8.1,0
Banepa,27.63,75.2,73,3.36,40
Grindavik,63.84,44.6,81,6.93,75
Labuhan,-2.54,89.52,60,1.5,58
Ilebo,-4.33,69.9,95,1.54,63
Denpasar,-8.65,84.2,74,20.8,40
Vardo,39.62,71.6,68,3.94,1
Channel-Port aux Basques,47.57,40.92,93,14.74,100
Wajima,37.4,69.8,52,10.29,40
Emba,34.81,69.8,63,5.82,99
Harper,30.3,78.8,73,8.59,1
Khatassy,61.91,53.6,58,8.95,0
Nikel,69.41,41.0,86,9.17,21
Brewster,41.76,59.0,93,6.93,75
Barao de Melgaco,-16.19,80.6,74,2.24,0
Maxixe,-23.86,61.44,95,4.54,19
Jatiroto,-7.61,83.04,61,10.13,66
Jinchang,38.52,70.62,13,18.68,0
George,6.63,77.0,94,4.7,20
Leh,34.16,34.8,44,1.34,22
Sept-Iles,50.2,45.0,75,6.93,75
Shar,7.3,75.84,87,6.29,100
Nioro,13.79,80.88,45,9.15,3
Floriano,-6.77,76.92,73,2.66,20
Panciu,45.91,64.4,82,17.22,75
Monastyrshchina,54.35,52.08,85,3.87,1
Norfolk,36.85,75.2,88,3.36,75
Urucara,-2.54,74.76,98,2.08,100
Tomatlan,19.93,74.94,81,8.61,27
Dubinino,55.62,43.98,64,9.24,13
Goianesia,-15.32,72.6,62,3.53,93
Aitape,-3.15,88.08,62,11.18,100
Kathmandu,27.71,75.2,73,3.36,40
Lima,-12.06,64.4,88,9.17,90
Mineros,-17.12,66.2,93,6.93,90
Otane,-39.89,48.99,77,11.01,4
Sao Jose da Coroa Grande,-8.9,72.6,94,2.73,29
Nueva Concepcion,14.2,80.7,80,8.66,100
Taoudenni,22.68,94.2,11,11.36,0
Shimanovsk,52.0,66.84,34,6.02,89
Galdar,28.15,68.0,77,14.99,75
Campos,41.54,70.0,87,2.82,0
Nieuw Amsterdam,5.88,77.0,94,9.33,20
Warnes,-17.51,66.2,93,6.93,90
Tabuk,17.41,85.02,58,1.14,17
Wakema,16.6,90.42,56,3.53,96
Beloha,-25.17,63.06,96,5.21,2
Lewistown,40.39,71.01,82,5.82,1
Borskoye,53.03,72.6,75,7.2,96
Hanstholm,57.12,55.0,8,1.99,100
Biasca,46.36,57.0,100,5.68,7
Gainesville,29.65,81.0,88,4.7,1
Hovd,63.83,46.0,100,6.93,20
Kahramanmaras,37.58,73.0,60,6.93,20
Aksha,50.28,63.96,42,6.69,0
Zachepylivka,49.2,69.0,81,2.17,53
Andros Town,24.73,80.6,78,11.41,20
Kargasok,59.06,51.54,54,5.64,45
Moba,-7.04,59.46,89,3.42,36
